S.NO,States,1950,L.R. 1950,1990,L.R. 1990,2010,L.R. 2010
1, Uttar Pradesh,60274800,12.02,132062800,40.71,199581477,69.72
2, Maharashtra,32002500,27.91,78937190,64.87,112372972,82.91
3, Bihar,29085900,13.49,64531200,37.49,103804630,63.82
4, West Bengal,26300670,24.61,68077970,57.70,91347736,77.08
5, Madhya Pradesh,18615700,13.16,48566800,44.67,72597565,70.63
6, Tamil Nadu,30119680,0,55859300,62.66,72138958,80.33
7, Rajasthan,15971130,8.50,44005990,38.55,68621012,67.06
8, Karnataka,19402500,0,44977200,56.04,61130704,75.60
9, Gujarat,16263700,21.82,41309580,61.29,60383628,79.31
10, Andhra Pradesh,31115000,,66508170,44.08,49386799,67.66
11, Odisha,14646100,15.80,31659740,49.09,41947358,73.45
12, Telangana,0,0,0,0,35193978,66.46
13, Kerala,13549000,47.81,29098523,89.81,33387677,93.91
14, Jharkhand,9697300,12.93,21844550,41.39,32988134,67.63
15, Assam,8029100,18.53,22414320,52.89,31169272,73.45
16, Punjab,9160990,0,20281971,58.51,27704236,76.68
17,Haryana,5674400,0,16464600,55.85,25753081,76.64
18,Chhattisgarh,7457700,9.41,17615600,42.91,29540196,71.04
19, Jammu and Kashmir,3254650,0,7718700,0,12548926,68.74
20, Uttarakhand,2946900,18.93,7051600,57.75,10116752,79.63
21, Himachal Pradesh,2386940,0,5170877,63.86,6856509,83.78
22, Tripura,639984,0,2757205,60.44,3671032,87.75
23, Meghalaya,606300,,1774778,49.10,2964007,75.48
24,Manipur,578060,12.57,1837900,59.89,2721756,79.85
25, Nagaland,213700,10.52,1210492,61.65,1980602,80.11
26, Goa,547000,23.48,1170115,75.51,1457723,87.40
27, Arunachal Pradesh,0,0,865900,41.59,1382611,66.95
28, Mizoram,196970,31.14,690963,82.26,1091014,91.58
29, Sikkim,138093,0,406000,56.94,607688,82.20
